53C 	-3635	-635
53D 	-4000	-845
53E 	-3845	-1000
53F 	-3943	-690
53G 	-3790	-634
53H 	-3635	-944
54A 	-3500	-1000
54B 	-3340	-840
54C 	-3135	-635
54D 	-3500	-845
54E 	-3345	-1000
54F 	-3443	-634
54G 	-3290	-634
54H 	-3135	-944
55A 	-3000	-1000
55B 	-2840	-840
55C 	-2635	-635
55D 	-3000	-845
55E 	-2845	-1000
55F 	-3000	-690
55G 	-2790	-677
55H 	-2635	-944
56A 	-2500	-1000
56B 	-2340	-840
56C 	-2135	-635
56D 	-2500	-845
56E 	-2345	-1000
56F 	-2500	-634
56G 	-2290	-677
56H 	-2135	-944
57A 	-2000	-1000
57B 	-1840	-840
57C 	-1635	-635
57D 	-2000	-845
57E 	-1845	-1000
57F 	-1943	-690
57G 	-1790	-677
57H 	-1635	-944
58A 	-1500	-1000
58B 	-1340	-840
58C 	-1135	-635
58D 	-1500	-845
58E 	-1345	-1000
58F 	-1443	-634
58G 	-1290	-677
58H 	-1135	-944
59A 	-1000	-1000
59B 	-840	-840
59C 	-635	-635
59D 	-1000	-845
59E 	-845	-1000
59F 	-1000	-690
59G 	-845	-634
59H 	-635	-845
60A 	-500	-1000
60B 	-340	-840
60C 	-135	-635
60D 	-500	-845
60E 	-345	-1000
60F 	-500	-634
60G 	-345	-634
60H 	-135	-845
61A 	-5000	-500
61B 	-4840	-340
61C 	-4635	-135
61D 	-5000	-345
61E 	-4845	-500
61F 	-5000	-190
61G 	-4790	-134
61H 	-4635	-345
62A 	-4500	-500
62B 	-4340	-340
62C 	-4135	-135
62D 	-4500	-345
62E 	-4345	-500
62F 	-4500	-134
62G 	-4290	-134
62H 	-4135	-345
63A 	-4000	-500
63B 	-3840	-340
63C 	-3635	-135
63D 	-4000	-345
63E 	-3845	-500
63F 	-3943	-190
63G 	-3790	-134
63H 	-3635	-345
64A 	-3500	-500
64B 	-3340	-340
64C 	-3135	-135
64D 	-3500	-345
64E 	-3345	-500
64F 	-3443	-134
64G 	-3290	-134
64H 	-3135	-345
65A 	-3000	-500
65B 	-2840	-340
65C 	-2635	-135
65D 	-3000	-345
65E 	-2845	-500
65F 	-3000	-190
65G 	-2790	-177
65H 	-2635	-345
66A 	-2500	-500
66B 	-2340	-340
66C 	-2135	-135
66D 	-2500	-345
66E 	-2345	-500
66F 	-2500	-134
66G 	-2290	-177
66H 	-2135	-345
67A 	-2000	-500
67B 	-1840	-340
67C 	-1635	-135
67D 	-2000	-345
67E 	-1845	-500
67F 	-1943	-190
67G 	-1790	-177
67H 	-1635	-345
68A 	-1500	-500
68B 	-1340	-340
68C 	-1135	-135
68D 	-1500	-345
68E 	-1345	-500
68F 	-1443	-134
68G 	-1290	-177
68H 	-1135	-345
69A 	-1000	-500
69B 	-840	-340
69C 	-635	-135
69D 	-1000	-345
69E 	-845	-500
69F 	-1000	-190
69G 	-692	-500
69H 	-635	-345
70A 	-500	-500
70B 	-340	-340
70C 	-135	-135
70D 	-500	-345
70E 	-345	-500
70F 	-500	-134
70G 	-192	-500
70H 	-135	-345
71A 	-5000	0
71B 	-4840	160
71C 	-4635	365
71D 	-5000	155
71E 	-4845	0
71F 	-4943	310
71G 	-4692	0
71H 	-4635	155
